bulkyItems,electronicWaste,illegalDumpingPickup,metalHouseholdAppliances,duration,healthStatus
1,0,0,0,5,1
1,0,0,0,8,3
0,0,1,0,24,3
1,0,0,0,4,2
0,0,1,0,2,2
1,0,0,0,2,3
1,0,0,0,4,1
1,0,0,0,1,1
1,0,0,0,1,1
1,0,0,0,3,1
1,0,0,0,2,2
1,0,0,0,1,3
1,0,0,0,4,3
1,0,0,0,4,3
1,0,0,0,4,3
1,0,0,0,2,3
0,0,1,0,2,3
1,0,0,0,2,2
1,0,0,0,4,1
1,0,0,0,1,1
0,1,0,0,2,3
1,0,0,0,2,3
1,0,0,0,4,1
0,0,1,0,4,1
1,0,0,0,3,3
0,0,1,0,3,3
1,0,0,0,4,3
1,0,0,0,2,2
1,0,0,0,24,3
1,0,0,0,3,1
1,0,0,0,3,1
0,0,1,0,3,1
1,0,0,0,3,3
0,1,0,0,3,3
1,0,0,0,3,3
1,0,0,0,22,2
1,0,0,0,3,3
1,0,0,0,3,3
1,0,0,0,3,3
0,0,1,0,3,3
0,1,0,0,3,3
0,0,1,0,8,3
1,0,0,0,2,2
1,0,0,0,2,2
1,0,0,0,4,3
0,0,0,1,1,2
1,0,0,0,1,2
1,0,0,0,4,3
1,0,0,0,4,3
1,0,0,0,1,2
1,0,0,0,4,3
1,0,0,0,4,3
1,0,0,0,1,2
1,0,0,0,4,3
1,0,0,0,4,3
1,0,0,0,2,2
1,0,0,0,5,2
0,0,1,0,5,2
0,1,0,0,5,2
0,0,1,0,1,2
0,0,1,0,5,1
0,0,1,0,2,3
0,0,1,0,3,1
1,0,0,0,2,1
0,0,1,0,1,2
1,0,0,0,5,1
1,0,0,0,5,3
1,0,0,0,3,3
1,0,0,0,3,3
0,0,1,0,3,1
1,0,0,0,1,2
1,0,0,0,24,3
0,0,0,1,5,3
0,0,1,0,1,2
0,0,1,0,1,2
1,0,0,0,1,2
1,0,0,0,1,1
1,0,0,0,2,1
1,0,0,0,1,1
1,0,0,0,1,1
1,0,0,0,2,2
1,0,0,0,2,2
0,0,1,0,2,2
0,0,0,1,3,3
1,0,0,0,3,3
1,0,0,0,3,3
0,0,1,0,10,3
0,1,0,0,3,3
1,0,0,0,2,3
1,0,0,0,1,3
1,0,0,0,1,3
1,0,0,0,2,3
1,0,0,0,3,3
1,0,0,0,4,2
1,0,0,0,3,3
1,0,0,0,3,3
1,0,0,0,24,3
1,0,0,0,1,1
0,0,0,1,1,1
0,0,1,0,3,3
0,0,0,1,2,2
1,0,0,0,27,3
1,0,0,0,27,3
1,0,0,0,3,3
0,0,1,0,5,3
1,0,0,0,2,2
1,0,0,0,24,3
1,0,0,0,5,3
0,0,0,1,5,3
1,0,0,0,1,1
0,0,0,1,5,3
1,0,0,0,2,3
1,0,0,0,5,3
